Speaker,Transcription,Transactivity,Regulation,dialog_id,Transactivity 
H,"Yeah, so this was one aspect. Uh, I think, another one that I happened to look at, was like… Uh, there were a few articles that look at motivate - , like what motivates students to regulate their emotions.",EXT,,SE1 11.10,
G,Mhm.,QC,,SE1 11.10,
H,"Yeah, but I let me see whether it works. No, ok… Maybe it will work. Oh, who is this man?",EXT,,SE1 11.10,
G,"What does, what, what's her name, what’s the article? I tried to find.",ELI,,SE1 11.10,
H,"Haha, I copied the link, but I forgot to copy the, the, the title…",QC,,SE1 11.10,
G,(Interrupts) Mhm.,QC,,SE1 11.10,
H,"(Continues) … I’ll try to find. Mmm, wait, I forgot what I was… finish finding. This was on strategies and goals. ",EXT,,SE1 11.10,
G,Mhm (interrupts).,QC,,SE1 11.10,
H,"(Continues) Why they regulate, yeah. So, yeah, they were asked to describe how and why they, they try to regulate. Yeah, so what motivates them to regulate their emotions.",EXT,,SE1 11.10,
G,"Hm, (laughs) I think all, all topics focus on emotion regulation, because what we can do with emotion, just regulate, hmhm (laughs).",INT,,SE1 11.10,
H,"Yeah (small break). Yeah, yeah, so yeah.",QC,,SE1 11.10,
H,"Yeah, so yeah or we can look at what factors lead to successful emotional regulation. I don't know. Yeah… ",CON,P,SE1 11.10,
K,"Yeah, I think we have to narrow it down (overlaps).",CON,P,SE1 11.10,
H,Yeah.,QC,P,SE1 11.10,
K,"(Continues) …. to two variables because I think when we also include, like, the intercultural aspect than it’s too much, yeah? ",CON,P,SE1 11.10,
H,"Yes, yeah, so we have to, yeah. ",QC,P,SE1 11.10,
G,"it's so complicated (nodding yes) and not so much articles, yes?",ELI,,SE1 11.10,
A,Yeah.,QC,,SE1 11.10,
H,"Yeah, I think there's, there's no… There is very little article that are  specifically on, like, emotions in CSCL. They tend to mix it a bit. ",INT,,SE1 11.10,
K,"Yeah, you mean like motivation (overlaps)…",ELI,,SE1 11.10,
H,(ovelaps inaudible) regulation.,INT,,SE1 11.10,
K,"Yeah, you mean like motivation and emotion?",ELI,,SE1 11.10,
H,"And also, like, self-regulation, yeah.",INT,,SE1 11.10,
K,Yeah.,QC,,SE1 11.10,
H,"Or items of metacognition. So this few factors tend to interlink. OK, so we need to come, decide on, let’s see what was the thing that she had… We have to decide on specific topic.",EXT,F,SE1 11.10,
A,"Well, G’s, aaam, topic seemed quite specific, haha. I feel, like…",EXT,F,SE1 11.10,
G,"Again, what’s my topic? Just the moment. Haha.",ELI,,SE1 11.10,
A,"The, the article you shared, I mean, that seems…",EXT,,SE1 11.10,
G,"I, you mean, these articles, but again, share my screen…",EXT,,SE1 11.10,
H,"The AI, the use of facial recognition to facilitate emotional regulation.",EXT,,SE1 11.10,
A,But…,CON,,SE1 11.10,
G,"But, it’s different topic, maybe. ",CON,,SE1 11.10,
A,Yeah.,QC,,SE1 11.10,
G,"Maybe we, we can really just create the topic. Uh, can you repeat? H… How? How?",ELI,P,SE1 11.10,
H,"Or you mean my, my summary of this?",ELI,P,SE1 11.10,
G,"Ye-, ye-… No. I mean just one second ago., what you…",ELI,P,SE1 11.10,
H,"I was saying that, am, so this one is how, am how facial recognition can help to facilitate emotional regulation.",EXT,P,SE1 11.10,
G,"(overlaps) emotional regulation, yes, yes, I like this. ",QC,P,SE1 11.10,
H,How facial (types)…,ELI,,SE1 11.10,
G,Maybe not facial…,CON,,SE1 11.10,
K,(interrupts) But this one has not…,CON,,SE1 11.10,
G,"A, a. just my one remark. Maybe, hm, I don't know, should we narrow down to facial? Maybe some application can, can record our body language, how to say, haha, not only, fa- face.",CON,,SE1 11.10,
H,"Ah, okay.",QC,,SE1 11.10,
G,"Or just, how, mmm, technology tools can facilitate students’ emotion regulation.",CON,,SE1 11.10,
K,"Or maybe we can, am… ",INT,P,SE1 11.10,
H,(interrupts) I’ll write down (inaudible)…,EXT,P,SE1 11.10,
K,"(continues) include this one… Like the emotional regulation tool, we can include it in our article when we describe how we can….",INT,P,SE1 11.10,
H,Implications?,ELI,P,SE1 11.10,
K,"(continues) make this visible, these emotional, am, reactions visible. Then we could include it with this tool maybe, as in suggestion…",INT,P,SE1 11.10,
G,"Can you repeat please, Your idea? I tried to… understand. ",ELI,P,SE1 11.10,
K,Mmm.,QC,P,SE1 11.10,
G,"K, could you please repeat again, again your ideas?",ELI,P,SE1 11.10,
K,"Yeah, yeah sure. So, when we describe something about, like, collaboration and emotional regulation in, yeah and collaboration, like H said, then we can put a section in the article, like, how we can observe these emotional re- or these emotional reactions and then we could suggest this tool that you presented to us. ",INT,P,SE1 11.10,
G,"Mhm (nodding). Yes, mmm… ",QC,P,SE1 11.10,
K,"Just, just my idea to put these ideas together.",INT,P,SE1 11.10,
G,Mhm. Hm…,QC,,SE1 11.10,
H,Research question is always the hardest part. ,EXT,,SE1 11.10,
K,"Yeah, it is (smiles).",QC,,SE1 11.10,
H,Haha.,QC,,SE1 11.10,
G,Uhm? Should we now switch to Google Doc? To make some notes… ,ELI,P,SE1 11.10,
H,"(interrupts) Oh, yes, hold on, let me just, I am supposed to write down my password, which I forgot… (looks and types)",EXT,P,SE1 11.10,
G,"As I understand, during two weeks, we have first module, and we need to answer this question, yes?",ELI,F,SE1 11.10,
K,"Aaa, yeah, and after these two weeks we move to the other part.",QC,F,SE1 11.10,
G,Mhm.,QC,,SE1 11.10,
K,"Am, yeah.",QC,,SE1 11.10,
H,"Hm, never mind I'll, I’ll do the linking later.",EXT,,SE1 11.10,
G,"Yeah, do you have some problem, problems?",ELI,,SE1 11.10,
H,"I was trying to link, but I, it's funny because I forgot my password to my Google, it’s ok.",EXT,,SE1 11.10,
G,Maybe…,EXT,,SE1 11.10,
H,I have open the document that…,EXT,,SE1 11.10,
K,Maybe I can also try it.,EXT,,SE1 11.10,
H,"Yeah, you can try linking.",QC,,SE1 11.10,
K,Mmm…,QC,,SE1 11.10,
H,"Yeah, there is one part that it says cloud, at plus cloud. It felt at the top right side.",EXT,,SE1 11.10,
K,"Wait, first I need to sign in.",EXT,,SE1 11.10,
H,"Oh yeah, haha.",QC,,SE1 11.10,
K,"Haha, let's see.",QC,,SE1 11.10,
H,"This one. At the, at cloud storage. And then you can link it to Google Drive.",EXT,,SE1 11.10,
K,"OK, I think I have the same problem. I can’t remember my password, haha.",EXT,,SE1 11.10,
H,Password is always a problem to…,EXT,,SE1 11.10,
K,"Oh no, I can't enter, ha.",EXT,,SE1 11.10,
H,You can't enter your Google or your teams?,ELI,,SE1 11.10,
K,"Am, I can't enter my teams and my Google, I forgot my password.",EXT,,SE1 11.10,
H,Haha.,QC,,SE1 11.10,
G,Haha.,QC,,SE1 11.10,
A,"Let's see, I can try it.",EXT,,SE1 11.10,
G,"Actually, I have never used the Google Docs, hmhm.",EXT,,SE1 11.10,
H,"Oh, ok, haha. ",QC,,SE1 11.10,
G,"That is why I ask you, but I used for example jamboard in Google, but not Google Docs, hah. ",EXT,,SE1 11.10,
H,"Ah, OK. N...",QC,,SE1 11.10,
K,Does it work?,ELI,,SE1 11.10,
A,"Aaam. Ok, add folder…",EXT,,SE1 11.10,
H,"Ok, I think I got manage to get in now. OK, and then how do I link? OK, I think…. I managed (inaudible), ok. A just made one, right?",ELI,P,SE1 11.10,
H,"Yeah. OK, so I will, I’ll link my then. ",QC,F,SE1 11.10,
A,Uhm…,EXT,,SE1 11.10,
H,OK… (interrupted),QC,,SE1 11.10,
G,"(Interrupts, talk in parallel) So…",EXT,,SE1 11.10,
H,"(continues) So, maybe you can open a document inside here?",ELI,,SE1 11.10,
A,"Yeah, one second.",QC,,SE1 11.10,
G,"Aaa, can you share a link or how I can join you?",ELI,,SE1 11.10,
H,"So, it's on teams. You just have to go to teams,
go to our File, go to Files.",QC,,SE1 11.10,
G,Mhm.,QC,,SE1 11.10,
H,"The files, here.",EXT,,SE1 11.10,
G,"Files, yes.",QC,,SE1 11.10,
H,And here.,EXT,,SE1 11.10,
K,"Aaa, cool.",QC,,SE1 11.10,
H,"Yeah, let's wait for, you can just create a document, maybe?",ELI,,SE1 11.10,
A,"Yeah, I don't. I'm trying to figure out how to do that. I mean, like when I open up this it's…(interrupted)",EXT,,SE1 11.10,
H,"Why don't you open this inside your drive, and document in drive?",ELI,P,SE1 11.10,
A,"Yeah let's see…But then, okay, so then I would share this…(trying to create a document)",EXT,,SE1 11.10,
G,Does it work?,ELI,,SE1 11.10,
A,I'm a bit confused because I I haven't done this before. Um... (smiling),EXT,,SE1 11.10,
A,"Sorry, so then the folder in Teams ",EXT,,SE1 11.10,
G,"Hold home, yes, as I see it.",QC,,SE1 11.10,
A,"It should be, Yeah, it should now be linked with my Google Docs, right?",ELI,,SE1 11.10,
H,Yeah. So anything you put inside home will be in here.,QC,,SE1 11.10,
A,Okay but…,CON,,SE1 11.10,
G,"But I can't open. Right, just click home and can't see.",CON,,SE1 11.10,
A,Yeah I can't see anything either.,CON,,SE1 11.10,
H,Okay hold on let me just try…,EXT,,SE1 11.10,
A,Yeah maybe,QC,,SE1 11.10,
H,Okay…(figuring out) You'll see anything? On the…hmm that's odd. Doesn't show the Google Docs.,EXT,,SE1 11.10,
A,Yeah.,QC,,SE1 11.10,
H,"I shared the thing inside. Oh, you can only share folder but it doesn't show you the thing inside the folder…",EXT,,SE1 11.10,
K,And if we just share the the link to the document?,ELI,P,SE1 11.10,
H,"OK, that works as well.",QC,P,SE1 11.10,
A,"Yeah, I think that would be easier.",QC,P,SE1 11.10,
H,Maybe that's easier.,QC,P,SE1 11.10,
H,So here is the link. I'll put it in the channel as well (pasting the link)…It doesn't work so well…where should I put (murmuring) So I posted in front. Are you able to get in?,ELI,P,SE1 11.10,
G,Yes,QC,P,SE1 11.10,
H,"OK, everyone here. OK, so let me just put the few ideas we had, OK? Keeping our task.",EXT,P,SE1 11.10,
G,"Yes, I want to copy paste from chat (interrupted)",EXT,,SE1 11.10,
H,Ohh okay (laughter),QC,,SE1 11.10,
G,(continued) the whole questions from Essi.,EXT,,SE1 11.10,
H,All right. So the ideas that we had so far was?,ELI,P,SE1 11.10,
G,How technological or technology tool can facilitate students' emotion regulation.,EXT,P,SE1 11.10,
H,Okay.,QC,P,SE1 11.10,
G,"So, we have a context. It's a student, students yes.",EXT,P,SE1 11.10,
H,"It's pretty broad? But I think if we specify the technological tools specific, it will be hard to find articles as well, right?",ELI,P,SE1 11.10,
A,Yeah,QC,,SE1 11.10,
G,Mhm,QC,,SE1 11.10,
K,Yeah,QC,,SE1 11.10,
H,"So this all we can talk about different aspects of the technology tools like in terms of facial recognition, expression, what AI gets, recognizers, express emotions, expressions.",EXT,,SE1 11.10,
K,Yeah,QC,,SE1 11.10,
G,Mhm,QC,,SE1 11.10,
H,"(inaudible) and like scripting and facilitating, then maybe some other things.",EXT,,SE1 11.10,
A,"I mean, maybe even, um, um, just these, um, video chat, like group chat in general? I don't know. I mean, I would imagine (interrupted)",ELI,,SE1 11.10,
H,"Okay, communciation…",QC,,SE1 11.10,
A,"Yeah I would imagine since COVID happened, maybe there's some stuff on that.",EXT,,SE1 11.10,
H,Yeah maybe,QC,,SE1 11.10,
G,Communication media.,EXT,,SE1 11.10,
A,Yeah,QC,,SE1 11.10,
G,And how it can help collaboration work...,EXT,,SE1 11.10,
H&A,Yeah,QC,,SE1 11.10,
H,"So how can…collaboration, but our focus will be on the emotion part right?",ELI,P,SE1 11.10,
K&A,Yeah,QC,P,SE1 11.10,
G,Mhm,QC,P,SE1 11.10,
H,"through effective, emotional regulation...",ELI,P,SE1 11.10,
A&G,Mhm,QC,P,SE1 11.10,
H,Okay. This is specific topic…(murmuring),QC,P,SE1 11.10,
G,So topic is emotion regulation and technological tools combined together (laughing),EXT,P,SE1 11.10,
K,Yeah(laughing),QC,,SE1 11.10,
H,Okay,QC,,SE1 11.10,
G,"Question and problem, and aim. Or maybe we need to read some articles, find some literature and after that we can formulate.",EXT,F,SE1 11.10,
H,"Yeah, something more specific or something better, right?",ELI,F,SE1 11.10,
A&G&K,Yes,QC,F,SE1 11.10,
G,"Yeah, maybe now we can decide our schedule.",EXT,F,SE1 11.10,
K,Yeah that's a good idea.,QC,F,SE1 11.10,
A,Yeah,QC,F,SE1 11.10,
H,Okay,QC,F,SE1 11.10,
K,So do you prefer like having weekly meetings at the same time? Or are you flexible in your timetable?,ELI,F,SE1 11.10,
G,From next week I'm flexible because my internship finished this Friday.,EXT,F,SE1 11.10,
H,Okay,QC,F,SE1 11.10,
A,"I would prefer. I mean, I'm pretty flexible in general, but I would prefer if like if we had, if we figure it out one day of the week.",CON,F,SE1 11.10,
H&K,Yeah,QC,F,SE1 11.10,
A,That would be nice.,QC,F,SE1 11.10,
H, So like every week will be the same day and time that will be (interrupted),ELI,F,SE1 11.10,
A,"For me, Wednesdays are really, really nice. I only have one class in the morning, so yeah.",QC,F,SE1 11.10,
K,Yeah (smiling),QC,F,SE1 11.10,
G,This time or a little bit earlier?,ELI,F,SE1 11.10,
A,Earlier would be nicer too. (laughing),EXT,F,SE1 11.10,
K,Yeah for me as well. I think I have class till 4:00 o'clock and afterwards I'm free.,QC,F,SE1 11.10,
A,Cool,QC,F,SE1 11.10,
K,"So in Finland time, so it's 3:00 o'clock in Germany.",EXT,F,SE1 11.10,
A,That would be even better for me.,QC,F,SE1 11.10,
H,Is there another better day other than Wednesday? Because Wednesday might be a bit tight for me.,CON,F,SE1 11.10,
A,Thursdays are pretty good and also Monday I have nothing.,EXT,F,SE1 11.10,
H,Okay,QC,F,SE1 11.10,
G,"On Thursday, Tuesday and Thursday I have a class till 6 from 2 till 6 in Finland time.",EXT,F,SE1 11.10,
H,Okay. If it's Thursday evening will be tiring for you?,ELI,F,SE1 11.10,
G,"No, it's normal after 6.",CON,F,SE1 11.10,
H,"OK. Yeah, I'm good with Thursday or Monday as well.",QC,F,SE1 11.10,
G,Mhm. Thursday It's what date?,ELI,F,SE1 11.10,
H,Thursday is 18th.,EXT,F,SE1 11.10,
G,Yes yes,QC,F,SE1 11.10,
H,Or Monday is also alright for me as well.,CON,F,SE1 11.10,
K,Monday also works for me.,QC,F,SE1 11.10,
G,And for me.,QC,F,SE1 11.10,
A,For me too.,QC,F,SE1 11.10,
H,"OK, do we have to check with the other, K? (laughter)",ELI,F,SE1 11.10,
G,So we decided to meet once per week?,ELI,F,SE1 11.10,
K,"I think once a week schedule like one meeting, and if there's need, we can schedule another.",EXT,F,SE1 11.10,
A,Yeah,QC,F,SE1 11.10,
H,Yeah or should we put on Monday so the second meeting if we need in that we can put it on Thursday?,ELI,F,SE1 11.10,
G,"Yes, maybe first meeting should be on Monday.",QC,F,SE1 11.10,
K,Yeah,QC,F,SE1 11.10,
A,Yeah,QC,F,SE1 11.10,
H,"Yeah, OK. So Monday, what time will you all be good?",ELI,F,SE1 11.10,
A,Any time for me.,EXT,F,SE1 11.10,
H,Oh any time (laughing),EXT,F,SE1 11.10,
A,"Yeah, I I'm completely free on Monday, so.",QC,F,SE1 11.10,
H,"Okay. I have a class to two on Monday, but I think Essi mentioned that she's on her (interrupted)",EXT,F,SE1 11.10,
G,teaching,EXT,F,SE1 11.10,
H," timing, yeah, until is it four or five.",EXT,F,SE1 11.10,
K,"So I also have a class to four, and we can do maybe five or six?",ELI,F,SE1 11.10,
H,"Yeah. OK. Maybe if Monday five, so maybe write down this. Thank you. ",QC,F,SE1 11.10,
A,So that would be four for me?,ELI,F,SE1 11.10,
K,Yeah,QC,F,SE1 11.10,
H,Monday…,EXT,F,SE1 11.10,
G,Monday,EXT,F,SE1 11.10,
H,fifteen?,ELI,F,SE1 11.10,
G,Yes yes it's Finnish time,QC,F,SE1 11.10,
H,Okay yes Finnish time. Or then Thursdays six?,QC,F,SE1 11.10,
G,Yes,QC,F,SE1 11.10,
H,"Okay. I would check with the, yeah I think K should be alright on Monday 5 because we used to meet for the other for the readings on that timing.",EXT,F,SE1 11.10,
G,Mhm,QC,F,SE1 11.10,
H,Okay so let's see what do we need? ,ELI,P,SE1 11.10,
A,"And the goal, I guess, is to find literature. And then also try to read or just skim through it.",EXT,P,SE1 11.10,
G,Mhm.,QC,P,SE1 11.10,
K,"So we put when we find suitable articles, should we put it in teams?",ELI,F,SE1 11.10,
A&H,Yeah,QC,F,SE1 11.10,
G,"And maybe maybe we need to make some, I don't know, notes about article. ",EXT,F,SE1 11.10,
K,Yeah,QC,F,SE1 11.10,
G,Some findings or something interesting and (interrupted),EXT,F,SE1 11.10,
A,"When you find something, if we if you could notify everybody else, I mean that's kind of (interrupted)",EXT,F,SE1 11.10,
H,Shall we put it in like new conversation and then we attach it?,ELI,F,SE1 11.10,
G,Or we just can't put in Google Doc?,ELI,F,SE1 11.10,
H,"Google doc. Which will be easier to see? Let me see. There we need a folder, right?",ELI,F,SE1 11.10,
G,Mhm,QC,F,SE1 11.10,
H,I'm not sharing screen. Like this is the folder and we just throw it in?,ELI,F,SE1 11.10,
A,Yeah,QC,F,SE1 11.10,
H,"The articles, I will create the folder Articles (naming a folder) and then we put our articles inside?",ELI,F,SE1 11.10,
A,Mhm,QC,F,SE1 11.10,
H,Oke.,QC,F,SE1 11.10,
G,But shall we put in Teams or?,ELI,F,SE1 11.10,
H,Yeah (laughing),QC,F,SE1 11.10,
G,It's confusing a little bit.,EXT,F,SE1 11.10,
A,I would prefer to stick with Teams.,EXT,F,SE1 11.10,
H,"Okay. Then we can just put it in teams, maybe we can put it under the files section?",ELI,F,SE1 11.10,
A,Mhm,QC,F,SE1 11.10,
G,I have one question. Why we decide to go to the Google Docs?,ELI,F,SE1 11.10,
K,To write our article. That's why we decided to go to Google Docs.,EXT,F,SE1 11.10,
G,Because we have a note or Word in Teams.,ELI,F,SE1 11.10,
K,"Yeah, but when you would like to write our article, we can write and edit at the same time.This is only possible in Google Docs.",CON,F,SE1 11.10,
G,Ah okay.,QC,F,SE1 11.10,
A,"Hmm I'm pretty sure it's okay in Teams, too.",CON,F,SE1 11.10,
K,Oh really?,ELI,F,SE1 11.10,
G,We can try.,EXT,,SE1 11.10,
H,Can I try?,ELI,,SE1 11.10,
G,Yes yes,QC,,SE1 11.10,
H,I can try whether it works correctly,EXT,,SE1 11.10,
A,If I do new Word document like meeting…,EXT,,SE1 11.10,
